,date,H_team,A_team,arena,H_score,A_score,winner,loser,g_type,conf,free,H_foulO,A_foul,H_of,H_df,A_of,H_oR,H_dR,A_oR,A_dR,H_Tf,A_Tu
7515,2012-02-25 00:00:00,Youngstown State Penguins,Detroit Mercy,Beeghly Center,74,76,Detroit Mercy,Youngstown State Penguins,REG,Beeghly Center,,,,,,,,,,,,
7277,2012-02-04 00:00:00,Wagner Seahawks,Saint Francis (PA),Spiro Sports Center,72,54,Wagner Seahawks,Saint Francis (PA),REG,Spiro Sports Center,,,,,,,,,,,,
5083,2011-12-07 00:00:00,Nebraska,Florida Gulf Coast Eagles,Bob Devaney Sports Center,51,50,Nebraska,Florida Gulf Coast Eagles,REG,Bob Devaney Sports Center,,,,,,,,,,,,
8413,2012-02-25 00:00:00,Western Carolina Catamounts,Appalachian State,Ramsey Center,83,75,Western Carolina Catamounts,Appalachian State,REG,Ramsey Center,,,,,,,,,,,,
8206,2011-12-23 00:00:00,Baylor (6),West Virginia Mountaineers,,83,81,Baylor (6),West Virginia Mountaineers,REG,,,,,,,,,,,,,
5428,2012-02-29 00:00:00,Houston,Tulane Green Wave,Hofheinz Pavilion,82,53,Houston,Tulane Green Wave,REG,Hofheinz Pavilion,,,,,,,,,,,,
9319,2011-12-28 00:00:00,Niagara Purple Eagles,Maryland-Baltimore County,Gallagher Center,92,75,Niagara Purple Eagles,Maryland-Baltimore County,REG,Gallagher Center,,,,,,,,,,,,
10193,2012-01-24 00:00:00,Florida Gulf Coast Eagles,Longwood,Alico Arena,101,58,Florida Gulf Coast Eagles,Longwood,REG,Alico Arena,,,,,,,,,,,,
9313,2012-01-28 00:00:00,Florida Gulf Coast Eagles,Kennesaw State,Alico Arena,92,74,Florida Gulf Coast Eagles,Kennesaw State,REG,Alico Arena,,,,,,,,,,,,
6283,2012-02-06 00:00:00,North Florida,Florida Gulf Coast Eagles,UNF Arena,68,62,North Florida,Florida Gulf Coast Eagles,REG,UNF Arena,,,,,,,,,,,,
7527,2012-02-25 00:00:00,Toledo,Western Michigan Broncos,John F. Savage Hall,83,74,Toledo,Western Michigan Broncos,REG,John F. Savage Hall,,,,,,,,,,,,
7162,2011-11-11 00:00:00,Saint Louis Billikens,Tennessee State,Chaifetz Arena,71,37,Saint Louis Billikens,Tennessee State,REG,Chaifetz Arena,,,,,,,,,,,,
6409,2012-03-18 00:00:00,Drexel,Northern Iowa Panthers,Daskalakis Athletic Center,65,63,Drexel,Northern Iowa Panthers,NIT,Daskalakis Athletic Center,,,,,,,,,,,,
5679,2011-11-26 00:00:00,Texas A&M Aggies,Texas A&M-Corpus Christi,Reed Arena,56,43,Texas A&M Aggies,Texas A&M-Corpus Christi,REG,Reed Arena,,,,,,,,,,,,
4790,2012-01-27 00:00:00,Wright State Raiders,Loyola (IL),Ervin J. Nutter Center,47,41,Wright State Raiders,Loyola (IL),REG,Ervin J. Nutter Center,,,,,,,,,,,,
5891,2012-02-09 00:00:00,College of Charleston,Western Carolina Catamounts,Carolina First Arena,62,58,College of Charleston,Western Carolina Catamounts,REG,Carolina First Arena,,,,,,,,,,,,
4104,2011-12-18 00:00:00,Connecticut (9),Holy Cross Crusaders,XL Center,77,40,Connecticut (9),Holy Cross Crusaders,REG,XL Center,,,,,,,,,,,,
6722,2011-12-28 00:00:00,Rice,Texas A&M-Corpus Christi Islanders,Tudor Fieldhouse,78,66,Rice,Texas A&M-Corpus Christi Islanders,REG,Tudor Fieldhouse,,,,,,,,,,,,
5210,2012-01-28 00:00:00,Florida International Panthers,Western Kentucky,US Century Bank Arena,51,61,Western Kentucky,Florida International Panthers,REG,US Century Bank Arena,,,,,,,,,,,,
6364,2012-02-02 00:00:00,Troy,Florida International Panthers,Trojan Arena,50,63,Florida International Panthers,Troy,REG,Trojan Arena,,,,,,,,,,,,
7669,2012-02-04 00:00:00,Florida Atlantic,Florida International Panthers,FAU Arena,56,76,Florida International Panthers,Florida Atlantic,REG,FAU Arena,,,,,,,,,,,,
8220,2012-01-28 00:00:00,Robert Morris,St. Francis (NY) Terriers,Charles L. Sewall Center,68,81,St. Francis (NY) Terriers,Robert Morris,REG,Charles L. Sewall Center,,,,,,,,,,,,
8001,2011-12-10 00:00:00,San Francisco Dons,Pacific,War Memorial Gymnasium,79,69,San Francisco Dons,Pacific,REG,War Memorial Gymnasium,,,,,,,,,,,,
4192,2011-11-25 00:00:00,Florida State Seminoles,Harvard,Atlantis Resort Arena,41,46,Harvard,Florida State Seminoles,REG,Atlantis Resort Arena,,,,,,,,,,,,
6531,2012-02-24 00:00:00,Jacksonville Dolphins,North Florida,Jacksonville Veteran's Memorial Arena,64,70,North Florida,Jacksonville Dolphins,REG,Jacksonville Veteran's Memorial Arena,,,,,,,,,,,,
7428,2012-02-20 00:00:00,Jacksonville Dolphins,Kennesaw State,Jacksonville Veteran's Memorial Arena,73,71,Jacksonville Dolphins,Kennesaw State,REG,Jacksonville Veteran's Memorial Arena,,,,,,,,,,,,
8583,2012-01-14 00:00:00,South Dakota State Jackrabbits,Missouri-Kansas City,Frost Arena,85,58,South Dakota State Jackrabbits,Missouri-Kansas City,REG,Frost Arena,,,,,,,,,,,,
9094,2012-01-14 00:00:00,Florida State Seminoles,North Carolina (3),Donald L. Tucker Center,90,57,Florida State Seminoles,North Carolina (3),REG,Donald L. Tucker Center,,,,,,,,,,,,
7716,2011-11-26 00:00:00,UC-Santa Barbara,San Diego State Aztecs,The Thunderdome,75,76,San Diego State Aztecs,UC-Santa Barbara,REG,The Thunderdome,,,,,,,,,,,,
7690,2012-02-15 00:00:00,Sam Houston State Bearkats,Central Arkansas,Johnson Coliseum,76,59,Sam Houston State Bearkats,Central Arkansas,REG,Johnson Coliseum,,,,,,,,,,,,
6321,2011-12-29 00:00:00,Denver,Troy Trojans,Magness Arena,79,62,Denver,Troy Trojans,REG,Magness Arena,,,,,,,,,,,,
8099,2012-02-04 00:00:00,Southern Illinois-Edwardsville Cougars,Eastern Kentucky,Sam Vadalabene Center,80,74,Southern Illinois-Edwardsville Cougars,Eastern Kentucky,REG,Sam Vadalabene Center,,,,,,,,,,,,
8593,2011-12-17 00:00:00,Virginia Tech Hokies,Campbell,Cassell Coliseum,85,60,Virginia Tech Hokies,Campbell,REG,Cassell Coliseum,,,,,,,,,,,,
6679,2011-12-03 00:00:00,Xavier Musketeers,Purdue,Cintas Center,66,63,Xavier Musketeers,Purdue,REG,Cintas Center,,,,,,,,,,,,
5680,2012-03-18 00:00:00,Ohio,South Florida Bulls,,62,56,Ohio,South Florida Bulls,NCAA,,,,,,,,,,,,,
9997,2011-11-11 00:00:00,Florida Gators,Jackson State,Stephen C. O'Connell Center,99,59,Florida Gators,Jackson State,REG,Stephen C. O'Connell Center,,,,,,,,,,,,
9199,2011-11-17 00:00:00,Florida Gators,North Florida,Stephen C. O'Connell Center,91,55,Florida Gators,North Florida,REG,Stephen C. O'Connell Center,,,,,,,,,,,,
10814,2011-11-25 00:00:00,Florida Gators,Jacksonville,Stephen C. O'Connell Center,107,62,Florida Gators,Jacksonville,REG,Stephen C. O'Connell Center,,,,,,,,,,,,
9698,2011-11-28 00:00:00,Florida Gators,Stetson,,96,70,Florida Gators,Stetson,REG,,,,,,,,,,,,,
8313,2012-02-29 00:00:00,Richmond Spiders,Dayton,Robins Center,82,71,Richmond Spiders,Dayton,REG,Robins Center,,,,,,,,,,,,
8441,2011-12-29 00:00:00,Rutgers,Florida Gators,Louis Brown Athletic Center,85,83,Rutgers,Florida Gators,REG,Louis Brown Athletic Center,,,,,,,,,,,,
9128,2011-11-22 00:00:00,Iowa State Cyclones,Northern Colorado,James H. Hilton Coliseum,90,82,Iowa State Cyclones,Northern Colorado,REG,James H. Hilton Coliseum,,,,,,,,,,,,
5695,2011-12-22 00:00:00,Youngstown State Penguins,Robert Morris,Beeghly Center,56,59,Robert Morris,Youngstown State Penguins,REG,Beeghly Center,,,,,,,,,,,,
7712,2011-12-31 00:00:00,Washington Huskies,Oregon,Bank of America Arena,76,60,Washington Huskies,Oregon,REG,Bank of America Arena,,,,,,,,,,,,
9902,2012-02-18 00:00:00,Arkansas,Florida Gators,Bud Walton Arena,68,98,Florida Gators,Arkansas,REG,Bud Walton Arena,,,,,,,,,,,,
6823,2012-02-28 00:00:00,Vanderbilt,Florida Gators,Memorial Gymnasium,77,67,Vanderbilt,Florida Gators,REG,Memorial Gymnasium,,,,,,,,,,,,
6689,2012-02-11 00:00:00,Southeastern Louisiana Lions,Northwestern State,University Center,66,61,Southeastern Louisiana Lions,Northwestern State,REG,University Center,,,,,,,,,,,,
7161,2012-03-16 00:00:00,Florida Gators,Virginia,,71,45,Florida Gators,Virginia,NCAA,,,,,,,,,,,,,
8468,2012-03-18 00:00:00,Florida Gators,Norfolk State,,84,50,Florida Gators,Norfolk State,NCAA,,,,,,,,,,,,,
5402,2012-01-21 00:00:00,Detroit Mercy,Wright State Raiders,Calihan Hall,69,53,Detroit Mercy,Wright State Raiders,REG,Calihan Hall,,,,,,,,,,,,
6480,2012-02-05 00:00:00,Michigan State Spartans,Michigan (23),Breslin Events Center,64,54,Michigan State Spartans,Michigan (23),REG,Breslin Events Center,,,,,,,,,,,,
5114,2011-11-26 00:00:00,Georgia State,Liberty Flames,GSU Sports Arena,72,50,Georgia State,Liberty Flames,REG,GSU Sports Arena,,,,,,,,,,,,
6092,2011-11-20 00:00:00,North Carolina-Greensboro,Towson Tigers,,72,60,North Carolina-Greensboro,Towson Tigers,REG,,,,,,,,,,,,,
5471,2011-12-05 00:00:00,Fordham Rams,Hampton,Rose Hill Gym,54,53,Fordham Rams,Hampton,REG,Rose Hill Gym,,,,,,,,,,,,
4804,2012-01-21 00:00:00,South Alabama Jaguars,Middle Tennessee,Mitchell Center,47,68,Middle Tennessee,South Alabama Jaguars,REG,Mitchell Center,,,,,,,,,,,,
7489,2011-12-04 00:00:00,Southern Miss Golden Eagles,New Mexico State,Reed Green Coliseum,74,66,Southern Miss Golden Eagles,New Mexico State,REG,Reed Green Coliseum,,,,,,,,,,,,
5987,2012-02-15 00:00:00,Wake Forest Demon Deacons,Georgia Tech,Lawrence Joel Coliseum,59,50,Wake Forest Demon Deacons,Georgia Tech,REG,Lawrence Joel Coliseum,,,,,,,,,,,,
5229,2012-01-21 00:00:00,St. Bonaventure,Fordham Rams,Reilly Center,95,51,St. Bonaventure,Fordham Rams,REG,Reilly Center,,,,,,,,,,,,
58140,2012-01-25 00:00:00,Richmond,Fordham Rams,Robins Center,102,58,Richmond,Fordham Rams,REG,Robins Center,,,,,,,,,,,,
4698,2011-12-17 00:00:00,Fresno State Bulldogs,Cal Poly,Save Mart Center,46,65,Cal Poly,Fresno State Bulldogs,REG,Save Mart Center,,,,,,,,,,,,
6424,2011-11-11 00:00:00,Tennessee,North Carolina-Greensboro Spartans,Thompson-Boling Arena,92,63,Tennessee,North Carolina-Greensboro Spartans,REG,Thompson-Boling Arena,,,,,,,,,,,,
5928,2012-01-28 00:00:00,Utah Valley,NJIT Highlanders,McKay Events Center,81,58,Utah Valley,NJIT Highlanders,REG,McKay Events Center,,,,,,,,,,,,
5467,2011-11-15 00:00:00,Fresno State Bulldogs,Southern Methodist,,54,52,Fresno State Bulldogs,Southern Methodist,REG,,,,,,,,,,,,,
8601,2012-01-14 00:00:00,Mississippi Valley State Delta Devils,Alcorn State,Harrison HPER Complex,85,66,Mississippi Valley State Delta Devils,Alcorn State,REG,Harrison HPER Complex,,,,,,,,,,,,
8271,2012-01-03 00:00:00,Lehigh Mountain Hawks,Maryland-Eastern Shore,Stabler Arena,82,55,Lehigh Mountain Hawks,Maryland-Eastern Shore,REG,Stabler Arena,,,,,,,,,,,,
7104,2012-02-15 00:00:00,St. Bonaventure Bonnies,Temple,Reilly Center,70,76,Temple,St. Bonaventure Bonnies,REG,Reilly Center,,,,,,,,,,,,
6573,2011-11-27 00:00:00,San Diego,Tulane Green Wave,,46,65,Tulane Green Wave,San Diego,REG,,,,,,,,,,,,,
6074,2011-12-04 00:00:00,Western Kentucky Hilltoppers,Bowling Green State,E.A. Diddle Arena,60,53,Western Kentucky Hilltoppers,Bowling Green State,REG,E.A. Diddle Arena,,,,,,,,,,,,
6279,2012-03-03 00:00:00,Stephen F. Austin Lumberjacks,Northwestern State,William Johnson Coliseum,62,52,Stephen F. Austin Lumberjacks,Northwestern State,REG,William Johnson Coliseum,,,,,,,,,,,,
4986,2011-12-06 00:00:00,Radford Highlanders,Charlotte,Donald N. Dedmon Center,49,57,Charlotte,Radford Highlanders,REG,Donald N. Dedmon Center,,,,,,,,,,,,
7573,2012-02-02 00:00:00,South Dakota State Jackrabbits,Oral Roberts,Frost Arena,75,60,South Dakota State Jackrabbits,Oral Roberts,REG,Frost Arena,,,,,,,,,,,,
7763,2012-01-05 00:00:00,Furman Paladins,Citadel,Timmons Arena,77,45,Furman Paladins,Citadel,REG,Timmons Arena,,,,,,,,,,,,
4386,2012-01-07 00:00:00,Furman Paladins,College of Charleston,Timmons Arena,43,66,College of Charleston,Furman Paladins,REG,Timmons Arena,,,,,,,,,,,,
5093,2012-02-15 00:00:00,Saint Louis,Richmond Spiders,Chaifetz Arena,64,50,Saint Louis,Richmond Spiders,REG,Chaifetz Arena,,,,,,,,,,,,
9402,2012-02-04 00:00:00,Weber State Wildcats,Northern Colorado,Dee Events Center,93,81,Weber State Wildcats,Northern Colorado,REG,Dee Events Center,,,,,,,,,,,,
4990,2011-11-11 00:00:00,Georgia,Wofford Terriers,Stegeman Coliseum,62,49,Georgia,Wofford Terriers,REG,Stegeman Coliseum,,,,,,,,,,,,
5314,2011-12-22 00:00:00,Montana,Utah Valley Wolverines,Adams Center/Dahlberg Arena,65,52,Montana,Utah Valley Wolverines,REG,Adams Center/Dahlberg Arena,,,,,,,,,,,,
7568,2012-03-03 00:00:00,Northeastern,VCU Rams,,65,75,VCU Rams,Northeastern,CTOURN,,,,,,,,,,,,,
5476,2012-03-01 00:00:00,Alcorn State,Texas Southern Tigers,Davey L. Whitney Complex,51,54,Texas Southern Tigers,Alcorn State,REG,Davey L. Whitney Complex,,,,,,,,,,,,
4495,2011-11-11 00:00:00,Clemson,Gardner-Webb Runnin' Bulldogs,Littlejohn Coliseum,65,44,Clemson,Gardner-Webb Runnin' Bulldogs,REG,Littlejohn Coliseum,,,,,,,,,,,,
9194,2011-11-16 00:00:00,Gardner-Webb Runnin' Bulldogs,Lees-McRae,Paul Porter Arena,91,61,Gardner-Webb Runnin' Bulldogs,Lees-McRae,REG,Paul Porter Arena,,,,,,,,,,,,
6280,2011-12-22 00:00:00,Southern Utah Thunderbirds,UC-Davis,Centrum,62,51,Southern Utah Thunderbirds,UC-Davis,REG,Centrum,,,,,,,,,,,,
8784,2012-03-03 00:00:00,South Alabama Jaguars,Troy,,87,81,South Alabama Jaguars,Troy,CTOURN,,,,,,,,,,,,,
7290,2011-12-03 00:00:00,Presbyterian Blue Hose,Radford,Ross E.Templeton Center,72,64,Presbyterian Blue Hose,Radford,REG,Ross E.Templeton Center,,,,,,,,,,,,
6923,2012-02-25 00:00:00,New Mexico State,San Jose State Spartans,Pan American Center,79,68,New Mexico State,San Jose State Spartans,REG,Pan American Center,,,,,,,,,,,,
5715,2012-01-30 00:00:00,East Tennessee State,James Madison Dukes,Memorial Center,70,56,East Tennessee State,James Madison Dukes,REG,Memorial Center,,,,,,,,,,,,
6310,2011-12-10 00:00:00,Middle Tennessee,UT-Martin Skyhawks,Murphy Athletic Center,78,62,Middle Tennessee,UT-Martin Skyhawks,REG,Murphy Athletic Center,,,,,,,,,,,,
9315,2012-02-28 00:00:00,West Virginia Mountaineers,DePaul,WVU Coliseum,92,75,West Virginia Mountaineers,DePaul,REG,WVU Coliseum,,,,,,,,,,,,
7693,2012-01-26 00:00:00,UCLA Bruins,Utah,L. A. Sports Arena,76,49,UCLA Bruins,Utah,REG,L. A. Sports Arena,,,,,,,,,,,,
7154,2011-11-15 00:00:00,George Mason Patriots,Monmouth,,71,39,George Mason Patriots,Monmouth,REG,,,,,,,,,,,,,
6569,2012-01-05 00:00:00,Penn State Nittany Lions,Purdue,Bryce Jordan Center,65,45,Penn State Nittany Lions,Purdue,REG,Bryce Jordan Center,,,,,,,,,,,,
6510,2011-12-22 00:00:00,UC-Riverside,San Jose State Spartans,UCR Student Rec Center,66,64,UC-Riverside,San Jose State Spartans,REG,UCR Student Rec Center,,,,,,,,,,,,
8526,2012-02-23 00:00:00,South Dakota,IPFW Mastodons,DakotaDome,93,84,South Dakota,IPFW Mastodons,REG,DakotaDome,,,,,,,,,,,,
6179,2012-03-08 00:00:00,Georgia,Mississippi State Bulldogs,,71,61,Georgia,Mississippi State Bulldogs,CTOURN,,,,,,,,,,,,,
5398,2012-02-13 00:00:00,Southern Jaguars,Mississippi Valley State,F. G. Clark Activity Center,53,58,Mississippi Valley State,Southern Jaguars,REG,F. G. Clark Activity Center,,,,,,,,,,,,
9019,2012-01-14 00:00:00,Colorado State,Texas Christian Horned Frogs,Moby Arena,95,89,Colorado State,Texas Christian Horned Frogs,REG,Moby Arena,,,,,,,,,,,,
8995,2012-01-18 00:00:00,George Mason Patriots,Delaware,Patriot Center,89,63,George Mason Patriots,Delaware,REG,Patriot Center,,,,,,,,,,,,
9021,2012-01-28 00:00:00,George Mason Patriots,James Madison,Patriot Center,89,79,George Mason Patriots,James Madison,REG,Patriot Center,,,,,,,,,,,,
6086,2011-12-22 00:00:00,Wright State Raiders,Central Michigan,Ervin J. Nutter Center,60,42,Wright State Raiders,Central Michigan,REG,Ervin J. Nutter Center,,,,,,,,,,,,
5468,2012-02-06 00:00:00,Morgan State,Howard Bison,Hill Field House,46,54,Howard Bison,Morgan State,REG,Hill Field House,,,,,,,,,,,,
7603,2012-02-11 00:00:00,Texas Christian Horned Frogs,Colorado State,Daniel-Meyer Coliseum,75,71,Texas Christian Horned Frogs,Colorado State,REG,Daniel-Meyer Coliseum,,,,,,,,,,,,
6162,2012-03-07 00:00:00,Louisville Cardinals,Seton Hall,,61,55,Louisville Cardinals,Seton Hall,CTOURN,,,,,,,,,,,,,
6478,2012-01-14 00:00:00,Cornell,Penn Quakers,Newman Arena,52,64,Penn Quakers,Cornell,REG,Newman Arena,,,,,,,,,,,,
5107,2011-12-10 00:00:00,Syracuse (3),George Washington Colonials,Carrier Dome,85,50,Syracuse (3),George Washington Colonials,REG,Carrier Dome,,,,,,,,,,,,
5670,2012-02-04 00:00:00,Eastern Illinois,Morehead State Eagles,Lantz Arena,55,56,Morehead State Eagles,Eastern Illinois,REG,Lantz Arena,,,,,,,,,,,,
5904,2012-02-25 00:00:00,Utah Utes,Stanford,Jon M. Huntsman Center,58,57,Utah Utes,Stanford,REG,Jon M. Huntsman Center,,,,,,,,,,,,
7613,2012-01-25 00:00:00,Southeastern Louisiana Lions,Central Arkansas,University Center,75,71,Southeastern Louisiana Lions,Central Arkansas,REG,University Center,,,,,,,,,,,,
8380,2011-12-22 00:00:00,Kansas State Wildcats,Southern Illinois,,83,58,Kansas State Wildcats,Southern Illinois,REG,,,,,,,,,,,,,
8673,2011-11-14 00:00:00,Georgetown Hoyas,North Carolina-Greensboro,Verizon Center,86,45,Georgetown Hoyas,North Carolina-Greensboro,REG,Verizon Center,,,,,,,,,,,,
8903,2011-11-22 00:00:00,Chaminade,Georgetown Hoyas,Lahaina Civic Center,61,88,Georgetown Hoyas,Chaminade,REG,Lahaina Civic Center,,,,,,,,,,,,
9211,2012-01-14 00:00:00,Lamar,Texas-Arlington Mavericks,Montagne Center,82,91,Texas-Arlington Mavericks,Lamar,REG,Montagne Center,,,,,,,,,,,,
5772,2012-02-06 00:00:00,New Hampshire,Stony Brook Seawolves,Lundholm Gymnasium,48,57,Stony Brook Seawolves,New Hampshire,REG,Lundholm Gymnasium,,,,,,,,,,,,
8461,2011-12-03 00:00:00,Georgetown Hoyas,NJIT,Verizon Center,84,44,Georgetown Hoyas,NJIT,REG,Verizon Center,,,,,,,,,,,,
6122,2012-01-28 00:00:00,Temple,St. Joseph's Hawks,Liacouras Center,78,60,Temple,St. Joseph's Hawks,REG,Liacouras Center,,,,,,,,,,,,
5859,2012-02-01 00:00:00,Georgetown Hoyas,Connecticut,Verizon Center,58,44,Georgetown Hoyas,Connecticut,REG,Verizon Center,,,,,,,,,,,,
7563,2011-12-03 00:00:00,Washington State Cougars,Eastern Washington,Friel Court,75,49,Washington State Cougars,Eastern Washington,REG,Friel Court,,,,,,,,,,,,
6184,2012-02-11 00:00:00,Texas A&M-Corpus Christi,Sam Houston State Bearkats,American Bank Center,53,61,Sam Houston State Bearkats,Texas A&M-Corpus Christi,REG,American Bank Center,,,,,,,,,,,,
6459,2012-03-02 00:00:00,Marist Red Foxes,Saint Peter's,,64,57,Marist Red Foxes,Saint Peter's,CTOURN,,,,,,,,,,,,,
8218,2011-12-31 00:00:00,Washington State Cougars,Oregon State,Friel Court,81,76,Washington State Cougars,Oregon State,REG,Friel Court,,,,,,,,,,,,
8496,2011-11-11 00:00:00,North Carolina State Wolfpack,North Carolina-Asheville,RBC Center,84,75,North Carolina State Wolfpack,North Carolina-Asheville,REG,RBC Center,,,,,,,,,,,,
4697,2012-03-01 00:00:00,UCLA,Washington State Cougars,L. A. Sports Arena,78,46,UCLA,Washington State Cougars,REG,L. A. Sports Arena,,,,,,,,,,,,
4996,2012-02-09 00:00:00,USC Trojans,University of California,Galen Center,49,75,University of California,USC Trojans,REG,Galen Center,,,,,,,,,,,,
8494,2012-03-08 00:00:00,Oregon State,Washington Huskies,,86,84,Oregon State,Washington Huskies,CTOURN,,,,,,,,,,,,,
5804,2011-11-15 00:00:00,Miami (FL),Rutgers Scarlet Knights,BankUnited Center,72,57,Miami (FL),Rutgers Scarlet Knights,REG,BankUnited Center,,,,,,,,,,,,
7620,2012-02-15 00:00:00,IPFW,Oral Roberts Golden Eagles,Allen County War Memorial Coliseum,71,75,Oral Roberts Golden Eagles,IPFW,REG,Allen County War Memorial Coliseum,,,,,,,,,,,,
8879,2011-11-14 00:00:00,Valparaiso Crusaders,Holy Cross (IN),Athletics-Recreation Center,88,38,Valparaiso Crusaders,Holy Cross (IN),REG,Athletics-Recreation Center,,,,,,,,,,,,
6978,2011-11-30 00:00:00,Washington State Cougars,Grambling,Friel Court,69,37,Washington State Cougars,Grambling,REG,Friel Court,,,,,,,,,,,,
7513,2011-12-31 00:00:00,Illinois-Chicago,Wright State Raiders,UIC Pavilion,70,74,Wright State Raiders,Illinois-Chicago,REG,UIC Pavilion,,,,,,,,,,,,
5496,2011-11-30 00:00:00,Army,NJIT Highlanders,Christl Arena,53,54,NJIT Highlanders,Army,REG,Christl Arena,,,,,,,,,,,,
6375,2012-02-04 00:00:00,Washington State,UCLA Bruins,Friel Court,60,63,UCLA Bruins,Washington State,REG,Friel Court,,,,,,,,,,,,
7404,2012-01-21 00:00:00,Brown,Yale Bulldogs,Pizzitola Sports Center,60,73,Yale Bulldogs,Brown,REG,Pizzitola Sports Center,,,,,,,,,,,,
5401,2012-02-17 00:00:00,Loyola Marymount,Valparaiso Crusaders,Albert Gersten Pavilion,61,53,Loyola Marymount,Valparaiso Crusaders,REG,Albert Gersten Pavilion,,,,,,,,,,,,
5868,2011-12-06 00:00:00,Wagner Seahawks,Hofstra,Spiro Sports Center,58,43,Wagner Seahawks,Hofstra,REG,Spiro Sports Center,,,,,,,,,,,,
5586,2011-11-17 00:00:00,Temple,Western Michigan Broncos,,69,55,Temple,Western Michigan Broncos,REG,,,,,,,,,,,,,
8602,2012-01-13 00:00:00,Niagara Purple Eagles,Saint Peter's,Gallagher Center,85,73,Niagara Purple Eagles,Saint Peter's,REG,Gallagher Center,,,,,,,,,,,,
7364,2011-12-01 00:00:00,Georgia State Panthers,Florida International,GSU Sports Arena,73,47,Georgia State Panthers,Florida International,REG,GSU Sports Arena,,,,,,,,,,,,
6653,2011-12-03 00:00:00,Georgia State Panthers,William & Mary,GSU Sports Arena,66,34,Georgia State Panthers,William & Mary,REG,GSU Sports Arena,,,,,,,,,,,,
9690,2011-11-11 00:00:00,Indiana Hoosiers,Stony Brook,Assembly Hall,96,66,Indiana Hoosiers,Stony Brook,REG,Assembly Hall,,,,,,,,,,,,
5862,2012-01-02 00:00:00,Georgia State Panthers,Drexel,GSU Sports Arena,58,44,Georgia State Panthers,Drexel,REG,GSU Sports Arena,,,,,,,,,,,,
7518,2012-01-28 00:00:00,Charlotte,Xavier Musketeers,Dale F. Halton Arena,70,74,Xavier Musketeers,Charlotte,REG,Dale F. Halton Arena,,,,,,,,,,,,
7497,2012-02-07 00:00:00,Villanova Wildcats,Providence,Wells Fargo Center,74,72,Villanova Wildcats,Providence,REG,Wells Fargo Center,,,,,,,,,,,,
4719,2012-01-25 00:00:00,Drexel,Georgia State Panthers,Daskalakis Athletic Center,68,46,Drexel,Georgia State Panthers,REG,Daskalakis Athletic Center,,,,,,,,,,,,
6868,2011-11-16 00:00:00,Wisconsin Badgers,Colgate,Kohl Center,68,41,Wisconsin Badgers,Colgate,REG,Kohl Center,,,,,,,,,,,,
5966,2012-02-04 00:00:00,Hofstra,Georgia State Panthers,Mack Sports Complex,43,59,Georgia State Panthers,Hofstra,REG,Mack Sports Complex,,,,,,,,,,,,
